frame,laplacian,tenengrad,fft,is_blurry_percentile,is_blurry_stddev,is_blurry_fixed
336,550.43,15.48,3.90,False,False,True
337,551.77,15.96,4.04,False,False,True
338,597.42,16.68,4.34,False,False,True
339,582.05,15.47,4.01,False,False,True
340,559.30,15.71,4.17,False,False,True
341,548.61,15.16,3.98,False,False,True
342,554.26,15.23,4.03,False,False,True
343,548.54,15.83,4.26,False,False,True
344,533.01,15.01,3.93,True,False,True
345,524.18,14.98,4.00,True,True,True
346,533.11,14.77,3.87,True,False,True
347,530.25,14.43,3.74,True,False,True
348,525.06,14.15,3.65,True,True,True
349,529.18,14.25,3.70,True,True,True
350,528.23,14.25,3.74,True,True,True
351,524.47,14.07,3.71,True,True,True
352,583.12,14.52,4.05,False,False,True
353,553.22,13.24,3.55,False,False,True
354,548.22,13.14,3.54,False,False,True
355,537.06,13.28,3.57,True,False,True
356,550.29,13.40,3.63,False,False,True
357,550.70,13.63,3.67,False,False,True
358,548.59,13.75,3.68,False,False,True
359,535.82,13.77,3.70,True,False,True
360,539.57,13.61,3.68,False,False,True
361,592.91,15.22,4.33,False,False,True
362,557.76,13.49,3.73,False,False,True
363,544.81,13.23,3.64,False,False,True
364,544.10,13.19,3.63,False,False,True
365,540.37,13.30,3.61,False,False,True
366,550.49,13.39,3.64,False,False,True
367,543.20,13.13,3.58,False,False,True
368,531.28,12.93,3.53,True,False,True
369,518.70,12.64,3.44,True,True,True
370,559.59,13.55,3.81,False,False,True
371,531.91,12.41,3.43,True,False,True
372,527.40,12.24,3.40,True,True,True
373,531.22,13.21,3.82,True,False,True
374,507.02,11.72,3.25,True,True,True
375,496.48,11.45,3.17,True,True,True
376,510.34,11.45,3.18,True,True,True
377,503.79,11.32,3.16,True,True,True
378,533.86,11.28,3.14,True,False,True
379,521.17,11.26,3.12,True,True,True
380,532.78,11.32,3.13,True,False,True
381,534.36,11.37,3.15,True,False,True
382,544.72,11.39,3.16,True,False,True
383,529.57,11.31,3.13,True,True,True
384,543.63,11.57,3.17,False,False,True
385,544.89,11.71,3.19,False,False,True
386,539.98,11.79,3.21,False,False,True
387,578.97,12.64,3.46,False,False,True
388,560.99,12.49,3.53,False,False,True
389,514.45,11.29,3.11,True,True,True
390,549.35,11.44,3.15,True,False,True
391,543.87,11.41,3.13,True,False,True
392,562.72,12.29,3.41,False,False,True
393,518.10,11.61,3.23,True,True,True
394,582.46,13.04,3.61,False,False,True
395,502.68,10.95,2.96,True,True,True
396,522.77,11.10,3.03,True,True,True
397,524.99,10.97,3.01,True,True,True
398,524.13,10.80,2.98,True,True,True
399,567.02,14.64,4.33,False,False,True
400,531.12,10.51,2.97,True,False,True
401,511.73,11.80,3.48,True,True,True
402,580.00,10.46,2.96,True,True,True
403,534.26,10.10,2.83,True,True,True
404,547.21,10.15,2.81,True,True,True
405,581.07,10.54,2.97,True,False,True
406,581.58,12.16,3.63,False,False,True
407,533.70,9.93,2.83,True,True,True
408,545.87,9.87,2.75,True,True,True
409,545.17,9.76,2.67,True,True,True
410,570.29,10.09,2.82,True,True,True
411,578.95,10.76,3.12,True,False,True
412,538.96,9.36,2.66,True,True,True
