frame,laplacian,tenengrad,fft,is_blurry
381,534.36,11.37,3.15,True
382,544.72,11.39,3.16,True
383,529.57,11.31,3.13,True
384,543.63,11.57,3.17,True
385,544.89,11.71,3.19,True
386,539.98,11.79,3.21,True
387,578.97,12.64,3.46,True
388,560.99,12.49,3.53,True
389,514.45,11.29,3.11,True
390,549.35,11.44,3.15,True
391,543.87,11.41,3.13,True
392,562.72,12.29,3.41,True
393,518.10,11.61,3.23,True
394,582.46,13.04,3.61,True
395,502.68,10.95,2.96,True
396,522.77,11.10,3.03,True
397,524.99,10.97,3.01,True
398,524.13,10.80,2.98,True
399,567.02,14.64,4.33,True
400,531.12,10.51,2.97,True
401,511.73,11.80,3.48,True
402,580.00,10.46,2.96,True
403,534.26,10.10,2.83,True
404,547.21,10.15,2.81,True
405,581.07,10.54,2.97,True
406,581.58,12.16,3.63,True
407,533.70,9.93,2.83,True
408,545.87,9.87,2.75,True
409,545.17,9.76,2.67,True
410,570.29,10.09,2.82,True
411,578.95,10.76,3.12,True
412,538.96,9.36,2.66,True
413,536.67,9.54,2.64,True
414,538.35,9.68,2.71,True
415,539.38,10.26,2.94,True
416,522.48,9.83,2.76,True
417,542.99,10.05,2.86,True
418,567.34,11.08,3.22,True
419,529.44,9.81,2.77,True
420,530.67,10.37,2.94,True
421,531.04,10.22,2.87,True
422,530.07,10.21,2.90,True
423,526.36,10.31,2.91,True
424,537.03,10.47,2.97,True
425,531.70,10.53,2.99,True
426,545.64,10.65,3.04,True
427,534.05,10.66,3.05,True
428,547.59,10.88,3.12,True
429,548.11,11.00,3.16,True
430,558.89,11.19,3.21,True
431,546.95,11.23,3.23,True
432,549.88,11.18,3.25,True
433,549.71,11.18,3.27,True
434,584.59,12.47,4.03,True
435,612.96,13.75,4.34,True
436,556.22,11.97,3.61,True
437,548.71,11.55,3.48,True
438,557.39,11.30,3.31,True
439,584.11,12.48,3.94,True
440,594.28,13.70,4.25,True
441,558.97,12.13,3.72,True
442,523.34,11.36,3.40,True
443,540.99,11.40,3.36,True
444,537.11,11.42,3.37,True
445,541.09,11.48,3.37,True
446,540.78,11.49,3.36,True
447,582.08,13.31,4.15,True
